x,y,z
-0.74076,-0.54557,17.921
-0.72124,-0.61477,17.447
-0.71059,-0.68474,16.986
-0.70801,-0.75616,16.538
-0.71282,-0.82975,16.102
-0.72452,-0.90626,15.679
-0.74269,-0.98646,15.267
-0.76707,-1.0712,14.868
-0.79748,-1.1612,14.479
-0.83385,-1.2574,14.102
-0.8762,-1.3607,13.737
-0.92465,-1.4721,13.382
-0.97939,-1.5925,13.039
-1.0407,-1.7231,12.707
-1.1089,-1.865,12.386
-1.1846,-2.0195,12.077
-1.2681,-2.188,11.778
-1.36,-2.3718,11.492
-1.4612,-2.5726,11.218
-1.5724,-2.7921,10.956
-1.6943,-3.0321,10.708
-1.8281,-3.2948,10.474
-1.9748,-3.5822,10.255
-2.1355,-3.8969,10.052
-2.3117,-4.2412,9.8673
-2.5046,-4.6179,9.7022
-2.7159,-5.03,9.5591
-2.9473,-5.4806,9.4408
-3.2007,-5.9728,9.3506
-3.4779,-6.5099,9.2924
-3.7811,-7.0955,9.271
-4.1125,-7.7327,9.2921
-4.4745,-8.4247,9.3623
-4.8696,-9.1744,9.4896
-5.3,-9.984,9.6833
-5.7684,-10.855,9.9543
-6.2771,-11.787,10.315
-6.8281,-12.78,10.78
-7.4233,-13.828,11.365
-8.0637,-14.924,12.088
-8.7498,-16.058,12.969
-9.4806,-17.213,14.029
-10.254,-18.365,15.286
-11.065,-19.485,16.762
-11.907,-20.534,18.471
-12.77,-21.463,20.423
-13.639,-22.216,22.619
-14.497,-22.728,25.046
-15.32,-22.928,27.673
-16.081,-22.749,30.448
-16.747,-22.128,33.294
-17.286,-21.02,36.112
-17.659,-19.408,38.783
-17.834,-17.31,41.176
-17.781,-14.787,43.165
-17.482,-11.943,44.643
-16.928,-8.9136,45.54
-16.127,-5.8553,45.835
-15.099,-2.9206,45.557
-13.882,-0.24041,44.783
-12.517,2.0917,43.622
-11.057,4.0263,42.197
-9.5483,5.5557,40.626
-8.0379,6.7057,39.013
-6.5635,7.5239,37.433
-5.1548,8.0678,35.941
-3.8325,8.3965,34.567
-2.6096,8.5642,33.323
-1.4922,8.6175,32.211
-0.48127,8.5941,31.224
0.42627,8.5237,30.35
1.236,8.4284,29.577
1.9553,8.3247,28.892
2.5922,8.224,28.284
3.1554,8.1344,27.743
3.6533,8.0611,27.26
4.0941,8.0075,26.828
4.4854,7.9755,26.44
4.8344,7.9657,26.093
5.1475,7.9782,25.782
5.4306,8.0126,25.505
5.6888,8.0679,25.26
5.9267,8.1431,25.046
6.1484,8.2368,24.86
6.3572,8.3474,24.704
6.5562,8.4735,24.576
6.7479,8.6133,24.476
6.9345,8.7649,24.404
7.1175,8.9266,24.362
7.2984,9.0963,24.347
7.4782,9.272,24.362
7.6576,9.4513,24.406
7.837,9.632,24.479
8.0165,9.8117,24.581
8.196,9.9877,24.712
8.3752,10.157,24.871
8.5534,10.318,25.059
8.7298,10.466,25.273
8.9035,10.6,25.513
9.0731,10.715,25.776
9.2373,10.81,26.061
9.3945,10.881,26.365
9.5431,10.926,26.684
9.6814,10.942,27.015
9.8074,10.928,27.354
9.9195,10.882,27.696
10.016,10.803,28.037
10.094,10.692,28.371
10.154,10.547,28.694
10.193,10.371,29
10.211,10.166,29.284
10.207,9.9329,29.541
10.179,9.6763,29.767
10.129,9.3997,29.958
10.056,9.1074,30.111
9.9612,8.804,30.224
9.8455,8.4944,30.295
9.7104,8.1835,30.324
9.5577,7.876,30.31
9.3895,7.5765,30.254
9.2082,7.2891,30.159
9.0163,7.0175,30.026
8.8164,6.7646,29.858
8.6113,6.5332,29.658
8.4034,6.3251,29.43
8.1956,6.1417,29.176
7.9902,5.9839,28.902
7.7896,5.852,28.609
7.5958,5.746,28.302
7.4109,5.6656,27.984
7.2363,5.6102,27.657
7.0737,5.5789,27.326
6.9242,5.5708,26.992
6.7889,5.5849,26.658
6.6685,5.6201,26.326
6.5637,5.6756,25.999
6.4748,5.7502,25.678
6.4024,5.843,25.366
6.3464,5.9533,25.063
6.3071,6.0801,24.773
6.2844,6.2229,24.496
6.2783,6.3809,24.233
6.2885,6.5535,23.988
6.315,6.7403,23.76
6.3575,6.9406,23.552
6.4159,7.154,23.365
6.4897,7.3798,23.201
6.5787,7.6174,23.062
6.6826,7.8661,22.948
6.8009,8.1251,22.861
6.9333,8.3933,22.804
7.0793,8.6696,22.778
7.2383,8.9525,22.785
7.4098,9.2405,22.825
7.5928,9.5316,22.901
7.7867,9.8234,23.014
7.9904,10.113,23.165
8.2027,10.399,23.356
8.4223,10.676,23.586
8.6476,10.941,23.856
8.8769,11.19,24.166
9.1082,11.418,24.515
9.3392,11.621,24.901
9.5674,11.794,25.322
9.7901,11.933,25.775
10.004,12.031,26.256
10.207,12.085,26.76
10.395,12.091,27.28
10.564,12.045,27.809
10.713,11.945,28.34
10.836,11.789,28.864
10.931,11.577,29.372
10.996,11.312,29.854
11.027,10.995,30.302
11.024,10.631,30.706
10.985,10.226,31.059
10.909,9.788,31.354
10.797,9.3242,31.586
10.65,8.8438,31.75
10.469,8.356,31.845
10.258,7.8699,31.871
10.019,7.3941,31.828
9.7564,6.9366,31.72
9.4744,6.5043,31.551
9.1774,6.1028,31.326
8.8699,5.7365,31.051
8.5566,5.4085,30.732
8.2418,5.1207,30.375
7.9297,4.8737,29.987
7.6241,4.6674,29.574
7.3284,4.5008,29.141
7.0456,4.3721,28.694
6.7783,4.2795,28.237
6.5284,4.2207,27.774
6.2977,4.1933,27.309
6.0872,4.1949,26.844
5.898,4.2233,26.384
5.7305,4.2764,25.93
5.5851,4.3522,25.483
5.4618,4.4493,25.047
5.3606,4.5661,24.622
5.2811,4.7015,24.21
5.2232,4.8547,23.813
5.1863,5.0248,23.431
5.1702,5.2116,23.067
5.1743,5.4145,22.721
5.1983,5.6335,22.396
5.2418,5.8685,22.091
5.3045,6.1195,21.81
5.386,6.3867,21.553
5.4861,6.6701,21.322
5.6045,6.9697,21.119
5.741,7.2857,20.947
5.8955,7.6177,20.806
6.0677,7.9657,20.701
6.2575,8.3289,20.632
6.4646,8.7067,20.603
6.6888,9.0978,20.616
6.9297,9.5007,20.675
7.1868,9.9133,20.782
7.4595,10.333,20.94
7.7468,10.756,21.153
8.0477,11.179,21.422
8.3609,11.597,21.75
8.6844,12.003,22.14
9.0163,12.392,22.592
9.3539,12.756,23.107
9.6941,13.086,23.684
10.033,13.373,24.321
10.367,13.609,25.014
10.691,13.782,25.758
11,13.884,26.544
11.289,13.905,27.364
11.551,13.838,28.204
11.779,13.676,29.05
11.969,13.416,29.887
12.114,13.056,30.695
12.208,12.599,31.458
12.247,12.051,32.157
12.227,11.421,32.776
12.147,10.723,33.298
12.004,9.9719,33.713
11.801,9.1864,34.011
11.54,8.3852,34.188
11.224,7.5873,34.244
10.86,6.8106,34.182
10.455,6.0711,34.01
10.017,5.382,33.738
9.5535,4.7533,33.378
9.0735,4.192,32.942
8.5854,3.7017,32.444
8.097,3.2832,31.896
7.6156,2.9349,31.312
7.1476,2.6533,30.7
6.6981,2.4338,30.071
6.2717,2.2708,29.432
5.8716,2.1582,28.79
5.5003,2.0903,28.149
5.1593,2.0612,27.513
4.8495,2.0657,26.886
4.5711,2.0991,26.269
4.3239,2.1572,25.664
4.1072,2.2366,25.073
3.9202,2.3345,24.497
3.7616,2.4485,23.935
3.6303,2.5769,23.389
3.5249,2.7185,22.859
3.4443,2.8726,22.345
3.3871,3.0386,21.848
3.3523,3.2166,21.368
3.3387,3.4068,20.906
3.3455,3.6095,20.462
3.3719,3.8256,20.038
3.4173,4.0559,19.632
3.4811,4.3012,19.247
3.5632,4.5629,18.884
3.6631,4.8421,18.543
3.781,5.1401,18.226
3.9169,5.4583,17.934
4.0711,5.798,17.67
4.2438,6.1606,17.434
4.4355,6.5474,17.231
4.6466,6.9595,17.062
4.8779,7.3982,16.93
5.13,7.8642,16.84
5.4034,8.3581,16.794
5.6989,8.88,16.798
6.017,9.4296,16.856
6.3582,10.006,16.974
6.723,10.607,17.157
7.1114,11.23,17.413
7.5232,11.87,17.747
7.9579,12.523,18.167
8.4144,13.18,18.679
8.891,13.833,19.29
9.3852,14.469,20.005
9.8935,15.074,20.83
10.412,15.633,21.766
10.934,16.126,22.813
11.453,16.532,23.968
11.961,16.828,25.222
12.448,16.992,26.562
12.902,17.001,27.969
13.312,16.835,29.417
13.664,16.478,30.873
13.946,15.921,32.302
14.143,15.162,33.661
14.245,14.209,34.907
14.241,13.083,36.001
14.126,11.813,36.904
13.894,10.437,37.588
13.549,9.0007,38.036
13.094,7.5509,38.241
12.54,6.1344,38.21
11.899,4.7927,37.961
11.188,3.5595,37.519
10.426,2.4589,36.916
9.6289,1.5048,36.188
8.8165,0.70126,35.368
8.005,0.044632,34.487
7.2089,-0.47509,33.571
6.4405,-0.87194,32.641
5.7093,-1.1621,31.715
5.0221,-1.3626,30.803
4.3837,-1.4897,29.913
3.7963,-1.5587,29.05
3.2608,-1.583,28.216
2.7764,-1.5742,27.412
2.3414,-1.5421,26.637
1.953,-1.4948,25.891
1.6082,-1.4386,25.171
1.3036,-1.3788,24.477
1.0353,-1.3191,23.806
0.79989,-1.2624,23.158
0.59366,-1.2111,22.53
0.41318,-1.1665,21.922
0.25521,-1.1297,21.333
0.11672,-1.1014,20.761
-0.0050937,-1.0819,20.206
-0.11278,-1.0715,19.667
-0.20865,-1.0702,19.144
-0.29481,-1.078,18.636
-0.37313,-1.0948,18.142
-0.44529,-1.1206,17.662
-0.51283,-1.1555,17.196
-0.57709,-1.1993,16.744
-0.63932,-1.2523,16.304
-0.70061,-1.3145,15.877
-0.76201,-1.3863,15.463
-0.82444,-1.468,15.061
-0.8888,-1.56,14.672
-0.95591,-1.6629,14.294
-1.0266,-1.7772,13.929
-1.1017,-1.9039,13.576
-1.1819,-2.0438,13.235
-1.2681,-2.1979,12.906
-1.3611,-2.3673,12.59
-1.4617,-2.5534,12.286
-1.5709,-2.7575,11.996
-1.6895,-2.9813,11.719
-1.8187,-3.2266,11.457
-1.9595,-3.4952,11.21
-2.1131,-3.7892,10.98
-2.2807,-4.111,10.767
-2.4637,-4.4629,10.574
-2.6636,-4.8476,10.402
-2.882,-5.2679,10.254
-3.1206,-5.7266,10.132
-3.3812,-6.227,10.04
-3.6658,-6.7719,9.9833
-3.9764,-7.3647,9.9653
-4.3152,-8.0081,9.9924
-4.6845,-8.7051,10.071
-5.0866,-9.4579,10.211
-5.5237,-10.268,10.42
-5.9982,-11.137,10.709
-6.512,-12.062,11.091
-7.0671,-13.043,11.581
-7.6646,-14.073,12.194
-8.3055,-15.144,12.947
-8.9893,-16.242,13.86
-9.7146,-17.351,14.95
-10.478,-18.445,16.237
-11.275,-19.493,17.737
-12.097,-20.455,19.462
-12.933,-21.284,21.417
-13.768,-21.922,23.599
-14.583,-22.309,25.988
-15.356,-22.379,28.548
-16.058,-22.071,31.223
-16.659,-21.333,33.935
-17.127,-20.131,36.584
-17.427,-18.46,39.056
-17.53,-16.348,41.232
-17.412,-13.865,42.998
-17.058,-11.115,44.266
-16.463,-8.2294,44.981
-15.64,-5.3514,45.137
-14.611,-2.6177,44.77
-13.412,-0.14131,43.958
-12.085,2.0004,42.805
-10.676,3.7696,41.422
-9.2316,5.1648,39.915
-7.792,6.2131,38.374
-6.3914,6.9593,36.866
-5.0564,7.4564,35.438
-3.8051,7.7579,34.116
-2.6488,7.9131,32.911
-1.5926,7.9641,31.824
-0.63694,7.9453,30.849
0.22129,7.884,29.975
0.98756,7.8008,29.194
1.6689,7.711,28.492
2.2731,7.6257,27.861
2.8084,7.5526,27.291
3.2828,7.497,26.776
3.7042,7.4622,26.308
4.08,7.4502,25.883
4.417,7.4621,25.496
4.7215,7.4981,25.146
4.9992,7.5579,24.83
5.2551,7.6408,24.545
5.4936,7.7459,24.292
5.7189,7.8721,24.07
5.9342,8.0182,23.878
6.1426,8.1826,23.717
6.3466,8.3638,23.588
6.5483,8.5602,23.489
6.7495,8.77,23.424
6.9515,8.9912,23.391
7.1555,9.2217,23.392
7.3621,9.4592,23.428
7.5718,9.7011,23.5
7.7848,9.9449,23.608
8.0008,10.187,23.752
8.2194,10.425,23.934
8.44,10.655,24.153
8.6615,10.873,24.408
8.8827,11.076,24.699
9.102,11.258,25.024
9.3177,11.417,25.381
9.5276,11.546,25.768
9.7294,11.644,26.181
9.9209,11.704,26.616
10.099,11.724,27.067
10.262,11.701,27.53
10.406,11.633,27.996
10.528,11.517,28.46
10.627,11.353,28.914
10.7,11.142,29.349
10.744,10.887,29.759
10.758,10.589,30.135
10.741,10.253,30.47
10.692,9.8853,30.759
10.612,9.4914,30.996
10.5,9.0786,31.177
10.358,8.6542,31.298
10.187,8.2261,31.36
9.9912,7.8015,31.362
9.7722,7.3876,31.305
9.5337,6.9907,31.192
9.2794,6.6165,31.027
9.0131,6.2695,30.813
8.7388,5.9532,30.557
8.4602,5.6702,30.262
8.1812,5.4221,29.935
7.9053,5.2096,29.58
7.6357,5.0326,29.203
7.3754,4.8904,28.809
7.1269,4.7818,28.401
6.8924,4.7054,27.985
6.6737,4.6594,27.563
6.4723,4.642,27.139
6.2892,4.6513,26.715
6.1254,4.6856,26.296
5.9815,4.7431,25.881
5.8576,4.8224,25.475
5.7541,4.9221,25.078
5.6709,5.041,24.693
5.6079,5.1782,24.32
5.5649,5.3328,23.962
5.5417,5.5042,23.62
5.538,5.6919,23.295
5.5534,5.8955,22.989
5.5876,6.1149,22.703
5.6403,6.3497,22.439
5.7112,6.5998,22.199
5.8001,6.8651,21.984
5.9066,7.1454,21.796
6.0305,7.4404,21.637
6.1715,7.7497,21.509
6.3293,8.0728,21.413
6.5037,8.409,21.353
6.6942,8.7572,21.331
6.9005,9.1161,21.348
7.1221,9.4839,21.408
7.3582,9.8586,21.512
7.6083,10.237,21.664
7.8712,10.617,21.865
8.1458,10.994,22.118
8.4306,11.363,22.424
8.7238,11.719,22.784
9.0234,12.057,23.199
9.3268,12.37,23.668
9.6311,12.65,24.19
9.933,12.891,24.764
10.229,13.083,25.384
10.514,13.22,26.045
10.785,13.293,26.741
11.036,13.296,27.461
11.262,13.223,28.196
11.458,13.068,28.933
11.619,12.831,29.659
11.74,12.51,30.359
11.817,12.108,31.018
11.846,11.63,31.622
11.824,11.085,32.156
11.751,10.482,32.609
11.624,9.8358,32.972
11.445,9.1596,33.236
11.216,8.4688,33.398
10.942,7.7787,33.457
10.625,7.1038,33.416
10.273,6.4573,33.28
9.8916,5.8504,33.055
9.4875,5.2918,32.753
9.0679,4.788,32.381
8.6399,4.3428,31.952
8.2102,3.9579,31.475
7.785,3.633,30.961
7.3698,3.3662,30.418
6.9694,3.1543,29.855
6.5879,2.9935,29.279
6.2285,2.8793,28.695
5.8935,2.8072,28.109
5.5849,2.7727,27.525
5.3037,2.7715,26.946
5.0505,2.7997,26.374
4.8254,2.8538,25.812
4.6282,2.9308,25.262
4.4585,3.0283,24.724
4.3155,3.1441,24.2
4.1983,3.2766,23.69
4.1062,3.4248,23.196
4.038,3.5878,22.718
3.993,3.7652,22.257
3.9702,3.9569,21.814
3.9689,4.163,21.389
3.9883,4.3837,20.984
4.0278,4.6197,20.599
4.087,4.8716,20.236
4.1655,5.1402,19.895
4.263,5.4264,19.579
4.3793,5.7311,19.288
4.5145,6.0553,19.025
4.6686,6.3999,18.791
4.8417,6.7659,18.589
5.0341,7.1539,18.42
5.2461,7.5646,18.289
5.4779,7.9984,18.199
5.73,8.4553,18.151
6.0025,8.9351,18.152
6.2958,9.4369,18.204
6.6099,9.9592,18.313
6.9448,10.5,18.483
7.3003,11.056,18.719
7.6759,11.623,19.027
8.0706,12.195,19.412
8.4831,12.767,19.878
8.9114,13.328,20.431
9.3531,13.869,21.074
9.8047,14.378,21.809
10.262,14.841,22.638
10.72,15.243,23.557
11.172,15.567,24.563
11.612,15.795,25.647
12.03,15.911,26.797
12.418,15.896,27.997
12.766,15.738,29.224
13.063,15.424,30.454
13.299,14.949,31.657
13.464,14.314,32.801
13.549,13.524,33.853
13.547,12.596,34.783
13.452,11.551,35.562
13.262,10.418,36.167
12.977,9.231,36.584
12.603,8.0247,36.807
12.145,6.8346,36.836
11.614,5.6931,36.684
11.022,4.6276,36.367
10.382,3.6592,35.907
9.71,2.8016,35.33
9.0192,2.0619,34.66
8.3234,1.4406,33.921
7.6351,0.93336,33.137
6.965,0.53184,32.324
6.3217,0.22534,31.499
5.712,0.0018666,30.674
5.141,-0.15087,29.856
4.6118,-0.24476,29.052
4.1262,-0.29082,28.266
3.6845,-0.29888,27.5
3.2861,-0.27748,26.756
2.9298,-0.23381,26.033
2.6134,-0.17385,25.332
2.3347,-0.10239,24.652
2.091,-0.023198,23.992
1.8796,0.060836,23.352
1.6977,0.14759,22.73
1.5427,0.23558,22.127
1.412,0.32383,21.54
1.3032,0.4118,20.97
1.214,0.49928,20.417
1.1425,0.58636,19.878
1.0869,0.67329,19.355
1.0456,0.76052,18.846
1.0171,0.84863,18.351
1.0002,0.93827,17.871
0.99402,1.0302,17.404
0.99764,1.1252,16.95
1.0104,1.2242,16.509
1.0318,1.3281,16.081
1.0614,1.4378,15.666
1.099,1.5543,15.263
1.1446,1.6788,14.873
1.198,1.8122,14.496
1.2594,1.9559,14.131
1.3291,2.111,13.779
1.4073,2.2789,13.44
1.4944,2.461,13.113
1.5911,2.6588,12.8
1.6978,2.8741,12.501
1.8155,3.1085,12.217
1.9448,3.3639,11.947
2.0867,3.6425,11.694
2.2423,3.9463,11.458
2.4127,4.2778,11.241
2.5992,4.6393,11.045
2.8032,5.0336,10.871
3.0262,5.4634,10.722
3.27,5.9317,10.601
3.5361,6.4413,10.513
3.8266,6.9952,10.46
4.1435,7.5965,10.449
4.4888,8.2477,10.485
4.8647,8.9515,10.576
5.2734,9.7096,10.729
5.717,10.523,10.955
6.1976,11.393,11.265
6.7171,12.316,11.67
7.277,13.29,12.186
7.8782,14.307,12.828
8.5212,15.36,13.613
9.205,16.432,14.559
9.9277,17.505,15.684
10.685,18.552,17.003
11.472,19.542,18.532
12.279,20.433,20.28
13.094,21.176,22.248
13.903,21.718,24.428
14.684,21.997,26.796
15.415,21.954,29.311
16.069,21.533,31.914
16.616,20.688,34.523
17.023,19.398,37.04
17.26,17.665,39.354
17.301,15.528,41.354
17.124,13.063,42.937
16.717,10.374,44.029
16.083,7.5908,44.589
15.234,4.8468,44.621
14.195,2.2663,44.17
13.002,-0.051723,43.314
11.697,-2.0423,42.152
10.323,-3.6772,40.789
8.923,-4.9607,39.322
7.5346,-5.9213,37.83
6.189,-6.6027,36.375
4.9098,-7.0551,34.997
3.7134,-7.3281,33.717
2.6092,-7.4671,32.546
1.6016,-7.511,31.483
0.69033,-7.4917,30.523
-0.12788,-7.4342,29.658
-0.85851,-7.3577,28.876
-1.5084,-7.2766,28.169
-2.0852,-7.2013,27.528
-2.5969,-7.1391,26.944
-3.0511,-7.0952,26.411
-3.4555,-7.0727,25.923
-3.8172,-7.0737,25.476
-4.1429,-7.0993,25.067
-4.4385,-7.1499,24.693
-4.7096,-7.2252,24.351
-4.9612,-7.3247,24.042
-5.1976,-7.4478,23.765
-5.4226,-7.5935,23.518
-5.6397,-7.7606,23.303
-5.8518,-7.9479,23.119
-6.0614,-8.1541,22.967
-6.2706,-8.3776,22.849
-6.4813,-8.6168,22.765
-6.6949,-8.8699,22.717
-6.9124,-9.1349,22.705
-7.1346,-9.4096,22.731
-7.3621,-9.6914,22.796
-7.5951,-9.9776,22.902
-7.8333,-10.265,23.049
-8.0765,-10.55,23.238
-8.3239,-10.829,23.47
-8.5744,-11.098,23.746
-8.8268,-11.352,24.064
-9.0793,-11.586,24.425
-9.33,-11.795,24.825
-9.5764,-11.973,25.264
-9.8161,-12.115,25.737
-10.046,-12.216,26.239
-10.263,-12.271,26.767
-10.464,-12.275,27.313
-10.645,-12.224,27.869
-10.803,-12.116,28.427
-10.934,-11.948,28.977
-11.035,-11.722,29.511
-11.104,-11.438,30.018
-11.138,-11.1,30.487
-11.134,-10.712,30.911
-11.091,-10.28,31.279
-11.01,-9.8139,31.585
-10.891,-9.321,31.823
-10.734,-8.8114,31.99
-10.542,-8.2951,32.083
-10.317,-7.7817,32.101
-10.063,-7.2808,32.048
-9.7851,-6.8006,31.926
-9.4867,-6.3484,31.74
